,Tweets,len,ID,Date,Source,Likes,RT
25,"RT @rpbreakingnews: राजस्थान का पहला कोरोना मरीज इस तरह से बचाएगा दूसरों की जान
#patrikaCoronaTRUTHs #patrikaCoronaLATEST  #coronavirusindi…",140,1256899024394698752,2020-05-03 10:50:54,Twitter for Android,0,4
26,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256899016803127296,2020-05-03 10:50:52,Twitter for Android,0,83
27,"RT @Zebaism: My Report: While Indians Stranded Abroad Pay Nothing for Evacuation, It Costs Migrant Workers to Return Home

Wish the same co…",140,1256898962205925376,2020-05-03 10:50:39,Twitter for Android,0,304
28,"RT @rpbreakingnews: राजस्थान में यहाँ गुटखा, बीड़ी, सिगरेट की नहीं होगी बिक्री, फल-सब्जी ठेलों वालों की होगी जांच
#patrikaCoronaTRUTHs #pat…",140,1256898941993357312,2020-05-03 10:50:34,Twitter for Android,0,4
29,"RT @rpbreakingnews: रामायण में छुपे हैं कोरोना वायरस को हराने के रहस्य, यकीन ना आएं तो पढ़ें यह खबर
#patrikaCoronaTRUTHs #patrikaCoronaLATE…",140,1256898899542806529,2020-05-03 10:50:24,Twitter for Android,0,3
30,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256898755422543877,2020-05-03 10:49:49,Twitter for Android,0,83
31,"விஷாலின் கோரிக்கையால் தமிழக மருத்துவமனைகளுக்கு உதவிய அவரின் தங்கை - குளிர்ந்து வரும் பாராட்டு.! 
 
#Vishal… https://t.co/a8HNYDwgmg",131,1256898665861443588,2020-05-03 10:49:28,Twitter Web App,1,0
32,"#CoronaUpdate । राजस्थान में कोरोना पॉजिटिव मरीजों की संख्या 2,832 हुई

@RaghusharmaINC @ashokgehlot51 @rohitksingh… https://t.co/BXrxmRS21T",140,1256898581522341895,2020-05-03 10:49:08,Twitter Media Studio,12,2
33,"Your desires for new outfits and trends will be fulfilled soon!
Until Then Stay Home Stay Safe. #StayHomeStaySafe… https://t.co/YnMZkXNzp7",138,1256898537520082945,2020-05-03 10:48:58,Twitter Web App,0,0
34,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256898475058397184,2020-05-03 10:48:43,Twitter for Android,0,83
35,RT @supriyasahuias: Look at the  wonderful way relief material is being  distributed in Manipur. Dignity and respect for everyone in the en…,140,1256898435996770305,2020-05-03 10:48:33,Twitter for Android,0,6063
36,Corona &amp; Financial Virus... Read our views here - https://t.co/iX2gsguxmj. #coronavirus #CoronaOutBreak… https://t.co/xgBpm3LLvW,132,1256898286117666817,2020-05-03 10:47:58,Twitter for Android,0,0
37,Corona &amp; Financial Virus... Read our views here - https://t.co/ycWWi9V2r7. #coronavirus #CoronaOutBreak… https://t.co/z1jxjDvQvn,132,1256898179100020736,2020-05-03 10:47:32,Twitter for iPhone,1,0
38,@STEPHEN_I_Am_ Sir! We are sure your good deed will encourage others to do the same. Even if they are unable to rea… https://t.co/Yvq0C3YswH,140,1256897857849749512,2020-05-03 10:46:16,Twitter Web App,1,1
39,"RT @rameshlaus: #Coronavirus Tests in #India go past the 1 Million Mark..

1.05 Million..

Yesterday alone, #India did 70,000 tests.. 

#Co…",140,1256897808763740162,2020-05-03 10:46:04,Twitter for iPhone,0,96
40,"तरनतारन में एक साथ 26 केस आए सामने, संक्रमितों की संख्या 41 तक पहुंची
https://t.co/aSblr9LML1
#Punjab #Coronavirus… https://t.co/c55NYuiFlS",139,1256897740413366272,2020-05-03 10:45:48,TweetDeck,1,0
41,"RT @OfficialMSGfc: Ravi Insan, Look at the Dedication of this Dera Sacha Sauda volunteer, he offers Government to perform medical tests on…",139,1256897663141896193,2020-05-03 10:45:29,Twitter for Android,0,179
42,Corona &amp; Financial Virus... Read our views here - https://t.co/leVxg5W7do. #coronavirus #CoronaOutBreak… https://t.co/QJsE1gnCAR,132,1256897661124386819,2020-05-03 10:45:29,Twitter for Android,1,0
43,"#Islamophobiainindia
#coronavirusindia 
@ndtv
@LadyVelvet_HFQ
@MJALSHRIKA
https://t.co/ACpNpA2mPS",97,1256897618069815297,2020-05-03 10:45:18,Twitter for Android,1,0
44,"#coronavirusindia Coronavirus confirmed cases 
in India now 39,980, death toll at 1301. 10,633 are recovered, while… https://t.co/c73LAYTvdD",140,1256897569252192256,2020-05-03 10:45:07,Twitter Web App,1,1
45,"RT @zeerajasthan_: #Jaipur। कोरोना संक्रमण के दौरान स्वास्थ्य विभाग की बड़ी पहल 

@RaghusharmaINC @rohitksingh @ashokgehlot51 @Rajendra4BJP…",140,1256897367028068352,2020-05-03 10:44:18,Twitter for Android,0,3
46,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256897321499058177,2020-05-03 10:44:08,Twitter for Android,0,83
47,"RT @amitjoshitrek: राज्यात containment zone वगळता सर्व ठिकाणी ( रेड झोनमध्ये काही अटींसह ) मद्य विक्रीला राज्य शासनाची परवानगी

#coronaviru…",140,1256897263252668417,2020-05-03 10:43:54,Twitter for Android,0,3
48,Corona &amp; Financial Virus... Read our views here - https://t.co/6d6ZVW5Wce. #coronavirus #CoronaOutBreak… https://t.co/RwCqntg1R6,132,1256897242583175169,2020-05-03 10:43:49,Twitter for Android,2,0
49,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256897235607945216,2020-05-03 10:43:47,Twitter for Android,0,83
50,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256897199461597191,2020-05-03 10:43:39,Twitter for Android,0,83
51,"Tentats dont listen, always going out no mask also invite guest, we are senior citizens family from age 80(diabetes… https://t.co/JCWRjEIyJs",140,1256897190729003008,2020-05-03 10:43:36,Twitter Web App,0,1
52,"RT @TikTok_IN: @trishtrashers talks about the importance of staying home during the 21 days lockdown.
@UNICEFIndia

#21daylockdown #lockdow…",140,1256897130263752705,2020-05-03 10:43:22,Twitter Web App,0,169
53,@BillGates vs World.. #coronavirus #vaccine  #COVID19 #BillGates #Manvsworld #coronavirusindia #கொரோனா… https://t.co/3VYQ5quXGc,127,1256897118230286338,2020-05-03 10:43:19,Twitter for Android,0,0
54,Corona &amp; Financial Virus... Read our views here - https://t.co/zbYEuOKees. #coronavirus #CoronaOutBreak… https://t.co/pGQTmm4KMf,132,1256897065159966730,2020-05-03 10:43:07,Twitter for Android,1,0
55,#coronavirusindia Philippines barred incoming passenger flights from Sunday morning for one week  #CoronaVirus… https://t.co/ktdggOGfC7,135,1256896991713300482,2020-05-03 10:42:49,Twitter Web App,1,1
56,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256896904958484480,2020-05-03 10:42:28,Twitter Web App,0,83
57,"#Jaipur। कोरोना संक्रमण के दौरान स्वास्थ्य विभाग की बड़ी पहल 

@RaghusharmaINC @rohitksingh @ashokgehlot51… https://t.co/y0IbBSqLBR",131,1256896842329026560,2020-05-03 10:42:13,Twitter Web App,22,3
58,"A day without laughter is a day wasted... Happy World laughter Day...

#lockdown #worldlaughterday #laughterday… https://t.co/OltHfc1zVJ",136,1256896770040377344,2020-05-03 10:41:56,Twitter for Android,0,0
59,"RT @rameshlaus: #Coronavirus Tests in #India go past the 1 Million Mark..

1.05 Million..

Yesterday alone, #India did 70,000 tests.. 

#Co…",140,1256896743213535232,2020-05-03 10:41:50,Twitter for Android,0,96
60,"RT @dm_vaishali: प्रधानमंत्री जनधन योजना के तहत महिला खाता धारक, बैंक खाते के अंतिम अंक के अनुसार निर्धारित तिथि को पैसो की निकासी की जा सक…",140,1256896637571444737,2020-05-03 10:41:25,Twitter for Android,0,4
61,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256896620899307520,2020-05-03 10:41:21,Twitter for Android,0,83
62,#coronavirusindia The continuous rise in the number of people testing positive for coronavirus is expected to stabi… https://t.co/5WepJkvsGn,140,1256896586333818881,2020-05-03 10:41:12,Twitter Web App,0,0
63,"Lokpal member Justice AK Tripathi dies of COVID at AIIMS
#AjayKumarTripathi #AIIMS #Lokpal #Coronavirusindia… https://t.co/TIr459EBGD",133,1256896488908546050,2020-05-03 10:40:49,Twitter Web App,0,0
64,#coronavirusindia Mumbai Metropolitan Region Development Authority begins the work of constructing a 1000 bedded co… https://t.co/LV0zunYk4E,140,1256896456285229058,2020-05-03 10:40:41,Twitter Web App,0,0
65,"RT @poddarajeev2000: ..india prices should crash by minimum rs 30 if not more...😍 let's wait...😶😶

https://t.co/bOavIhVJsH

#stockmarket

#…",140,1256896364639911936,2020-05-03 10:40:19,Twitter for Android,0,0
66,Corona &amp; Financial Virus... Read our views here - https://t.co/vbhJf7ZZ0J. #coronavirus #CoronaOutBreak… https://t.co/SrNlGdgpFl,132,1256896335921332229,2020-05-03 10:40:13,Twitter for iPhone,1,0
67,"रमजानसाठी रस्ते भरणार अन् आम्हाला बांबू खावे लागणार, असं कसं चालेल; राज ठाकरे यांचा सवाल
https://t.co/Zo931CWTlE… https://t.co/KjIThsZJwo",137,1256896300760526848,2020-05-03 10:40:04,Twitter Web App,29,5
68,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256896240744312832,2020-05-03 10:39:50,Twitter for iPhone,0,83
69,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256896219353436160,2020-05-03 10:39:45,Twitter for iPhone,0,83
70,"RT @fpjindia: Mumbai: IDBI Bank's Uday Kamath dies due to coronavirus at Bombay hospital 

#RIP_BankerUdayKamath #TestRedZoneBankers #coron…",140,1256896169831206918,2020-05-03 10:39:33,Twitter for iPhone,0,83
